sources,scenario,total_ms,acquisitions,fast_paths,content_reads,bytes_read,dirty,checked,affected,working_states,lex,parse,publish,reconciliation,config_ms,composition_ms,g0_prepare_ms,g0_io_ms,g0_apply_ms,g0_discovery_ms,g0_validate_ms,g0_semantic_ms,g0_publish_ms,g0_commit_ms,g0_cache_ms,g0_tracker_ms,runtime_attach_ms,io_open_sum_ms,io_observe_before_sum_ms,io_read_sum_ms,io_observe_after_sum_ms,io_hash_sum_ms,candidate_update_sum_ms,tx_source_prepare_ms,tx_string_prepare_ms,tx_graph_prepare_ms,tx_string_retention_ms,tx_string_compaction_ms,tx_contribution_prepare_ms,tx_source_publish_ms,tx_string_publish_ms,tx_contribution_publish_ms,tx_graph_publish_ms,graph_pending_member_resolution_ms,graph_live_typeref_validation_ms,graph_canonical_typeref_rebuild_ms,graph_string_validation_ms,graph_definition_scan_ms,graph_definition_materialization_ms,graph_rebuild_storage_ms,graph_dependency_index_ms,graph_final_prepare_ms
128,g0_initial,4.113800,128,0,128,3638,0,128,128,128,128,128,128,0,0.190000,0.086700,0.022400,2.201400,0.032700,0.089800,0.000800,0.986400,0.095200,0.056600,0.002000,0.240500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008500,0.002900,0.030000,0.001000,0.000200,0.008800,0.000600,0.001000,0.001900,0.001000,0.000100,0.001500,0.007200,0.001300,0.000500,0.002000,0.001400,0.004100,0.010500
128,g1_no_change,0.002300,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,g2_modify_one,0.439000,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g0_initial,6.386500,512,0,512,15560,0,512,512,512,512,512,512,0,0.430700,0.314800,0.060700,3.129300,0.114500,0.324900,0.002400,0.870500,0.275300,0.113000,0.001900,0.427900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019500,0.004800,0.054700,0.001200,0.000200,0.020300,0.000600,0.003700,0.006900,0.000300,0.000300,0.001200,0.019000,0.004000,0.002000,0.006000,0.003200,0.004800,0.012800
512,g1_no_change,0.002100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g2_modify_one,0.438800,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g0_initial,18.544600,2048,0,2048,66338,0,2048,2048,2048,2048,2048,2048,0,1.438300,1.223800,0.231700,9.104900,0.407300,1.310500,0.016900,1.114000,1.031100,0.362400,0.002200,1.263900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.057700,0.003200,0.182900,0.003800,0.000800,0.065000,0.000300,0.019800,0.027700,0.000300,0.001400,0.004000,0.040500,0.017400,0.007900,0.025100,0.018600,0.025200,0.038100
2048,g1_no_change,0.002200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g2_modify_one,0.268900,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g0_initial,71.960800,8192,0,8192,275251,0,8192,8192,8192,8192,8192,8192,0,5.627200,5.068900,1.430600,33.309400,1.630100,6.174100,0.123700,2.528600,4.495400,1.491700,0.007500,4.625600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334300,0.004000,0.779800,0.018300,0.003100,0.187600,0.000300,0.041900,0.120800,0.001000,0.011100,0.015400,0.167900,0.132200,0.060400,0.066200,0.074600,0.077500,0.156500
8192,g1_no_change,0.002500,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g2_modify_one,0.436500,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32768,g0_initial,290.093600,32768,0,32768,1179156,0,32768,32768,32768,32768,32768,32768,0,21.085100,22.855900,6.350000,131.791600,6.158300,24.399400,0.408600,6.393200,20.823700,6.666100,0.085700,19.024600,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.330100,0.008200,2.914900,0.072800,0.011900,0.580100,0.000400,0.205100,0.540700,0.000500,0.045900,0.061600,0.508800,0.640300,0.372100,0.481600,0.198200,0.211500,0.324200
