"sources","scenario","median_ms","min_ms","max_ms"
"128","g0_initial","4.15945","4.1138","4.6101"
"128","g1_no_change","0.0021","0.002","0.0023"
"128","g2_modify_one","0.43655","0.3629","0.4985"
"2048","g0_initial","18.752049999999997","18.2365","19.4237"
"2048","g1_no_change","0.0022","0.002","0.0025"
"2048","g2_modify_one","0.42245","0.2689","0.578"
"32768","g0_initial","287.8748","280.6305","292.97"
"32768","g1_no_change","0.00375","0.003","0.0038"
"32768","g2_modify_one","0.46685","0.4159","0.5514"
"512","g0_initial","6.5424500000000005","6.1226","7.2975"
"512","g1_no_change","0.0021","0.0019","0.0022"
"512","g2_modify_one","0.40145","0.3402","0.4388"
"8192","g0_initial","72.20715000000001","69.27","74.4115"
"8192","g1_no_change","0.00245","0.0023","0.0026"
"8192","g2_modify_one","0.44675","0.349","0.4973"
