shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.166100,2,66,1,1024,1152,22,1122304,5509120,5529600
aggregate,1024,0,publish_commit,0.127600,2,66,1,1024,1152,22,1122304,5599232,5599232
aggregate,1024,1,parse,0.178800,2,66,1,1024,1152,22,1163264,5611520,5648384
aggregate,1024,1,publish_commit,0.135100,2,66,1,1024,1152,22,1163264,5611520,5648384
aggregate,1024,2,parse,0.163600,2,66,1,1024,1152,22,1138688,5619712,5648384
aggregate,1024,2,publish_commit,0.127600,2,66,1,1024,1152,22,1138688,5619712,5648384
aggregate,1024,3,parse,0.156800,2,66,1,1024,1152,22,1146880,5627904,5660672
aggregate,1024,3,publish_commit,0.136300,2,66,1,1024,1152,22,1146880,5627904,5660672
enum,1024,0,parse,0.979000,2,66,1,0,0,22,1196032,5672960,5672960
enum,1024,0,publish_commit,0.093800,2,66,1,0,0,22,1196032,5672960,5672960
enum,1024,1,parse,0.981000,2,66,1,0,0,22,1196032,5681152,5681152
enum,1024,1,publish_commit,0.102600,2,66,1,0,0,22,1196032,5681152,5681152
enum,1024,2,parse,0.966600,2,66,1,0,0,22,1196032,5681152,5681152
enum,1024,2,publish_commit,0.090000,2,66,1,0,0,22,1196032,5681152,5681152
enum,1024,3,parse,0.973000,2,66,1,0,0,22,1196032,5681152,5681152
enum,1024,3,publish_commit,0.098900,2,66,1,0,0,22,1196032,5681152,5681152
aggregate,4096,0,parse,0.684500,2,66,1,4096,4608,22,2215936,6533120,6795264
aggregate,4096,0,publish_commit,0.521900,2,66,1,4096,4608,22,2215936,6533120,6795264
aggregate,4096,1,parse,0.700700,2,66,1,4096,4608,22,2334720,6500352,6795264
aggregate,4096,1,publish_commit,0.529700,2,66,1,4096,4608,22,2334720,6500352,6795264
aggregate,4096,2,parse,0.596600,2,66,1,4096,4608,22,2334720,6500352,6795264
aggregate,4096,2,publish_commit,0.445700,2,66,1,4096,4608,22,2334720,6500352,6795264
aggregate,4096,3,parse,0.549700,2,66,1,4096,4608,22,2338816,6512640,6795264
aggregate,4096,3,publish_commit,0.391000,2,66,1,4096,4608,22,2338816,6512640,6795264
enum,4096,0,parse,12.079600,2,66,1,0,0,22,2543616,6660096,6815744
enum,4096,0,publish_commit,0.376900,2,66,1,0,0,22,2543616,6660096,6815744
enum,4096,1,parse,12.571700,2,66,1,0,0,22,2543616,6668288,6815744
enum,4096,1,publish_commit,0.453000,2,66,1,0,0,22,2543616,6668288,6815744
enum,4096,2,parse,12.437300,2,66,1,0,0,22,2543616,6672384,6828032
enum,4096,2,publish_commit,0.330200,2,66,1,0,0,22,2543616,6672384,6828032
enum,4096,3,parse,11.890400,2,66,1,0,0,22,2543616,6660096,6828032
enum,4096,3,publish_commit,0.391800,2,66,1,0,0,22,2543616,6660096,6828032
aggregate,16384,0,parse,2.203600,2,66,1,16384,18432,22,5976064,9863168,10686464
aggregate,16384,0,publish_commit,1.637500,2,66,1,16384,18432,22,5976064,9863168,10686464
aggregate,16384,1,parse,1.687700,2,66,1,16384,18432,22,6004736,9961472,10932224
aggregate,16384,1,publish_commit,1.378800,2,66,1,16384,18432,22,6004736,9961472,10932224
aggregate,16384,2,parse,1.678500,2,66,1,16384,18432,22,5767168,9924608,10932224
aggregate,16384,2,publish_commit,1.420400,2,66,1,16384,18432,22,5767168,9924608,10932224
aggregate,16384,3,parse,1.704200,2,66,1,16384,18432,22,5939200,9887744,10932224
aggregate,16384,3,publish_commit,1.362100,2,66,1,16384,18432,22,5939200,9887744,10932224
enum,16384,0,parse,137.608800,2,66,1,0,0,22,6615040,10625024,10973184
enum,16384,0,publish_commit,1.250400,2,66,1,0,0,22,6615040,10625024,10973184
enum,16384,1,parse,134.725900,2,66,1,0,0,22,6762496,10661888,10973184
enum,16384,1,publish_commit,1.206100,2,66,1,0,0,22,6762496,10661888,10973184
enum,16384,2,parse,136.882600,2,66,1,0,0,22,6774784,10584064,10973184
enum,16384,2,publish_commit,1.168000,2,66,1,0,0,22,6774784,10584064,10973184
enum,16384,3,parse,137.197200,2,66,1,0,0,22,6885376,10596352,10973184
enum,16384,3,publish_commit,1.207700,2,66,1,0,0,22,6885376,10596352,10973184
fan_out,512,0,commit,0.088000,515,579,513,1024,1152,534,1445888,5902336,10973184
fan_out,512,1,commit,0.087900,515,579,513,1536,1728,534,1445888,5918720,10973184
fan_out,512,2,commit,0.089100,515,579,513,2048,2304,534,1740800,5951488,10973184
fan_out,512,3,commit,0.088100,515,579,513,2560,2880,534,1740800,5971968,10973184
fan_in,512,0,commit,0.245100,517,581,514,1024,1152,535,1433600,5910528,10973184
fan_in,512,1,commit,0.230900,517,581,514,1536,1728,535,1740800,6000640,10973184
fan_in,512,2,commit,0.250000,517,581,514,2048,2304,535,1478656,5955584,10973184
fan_in,512,3,commit,0.240800,517,581,514,2560,2880,535,1478656,5955584,10973184
fan_out,2048,0,commit,0.820500,2051,2307,2049,4096,4608,2070,3338240,7286784,10973184
fan_out,2048,1,commit,0.808300,2051,2307,2049,6144,6912,2070,3031040,7327744,10973184
fan_out,2048,2,commit,0.787900,2051,2307,2049,8192,9216,2070,3035136,7401472,10973184
fan_out,2048,3,commit,0.809000,2051,2307,2049,10240,11520,2070,3035136,7340032,10973184
fan_in,2048,0,commit,1.138200,2053,2309,2050,4096,4608,2071,2523136,6918144,10973184
fan_in,2048,1,commit,1.149200,2053,2309,2050,6144,6912,2071,2498560,6922240,10973184
fan_in,2048,2,commit,1.153500,2053,2309,2050,8192,9216,2071,2568192,6959104,10973184
fan_in,2048,3,commit,1.216500,2053,2309,2050,10240,11520,2071,2531328,6963200,10973184
fan_out,8192,0,commit,10.478900,8195,9219,8193,16384,18432,8214,8839168,12800000,12800000
fan_out,8192,1,commit,10.416300,8195,9219,8193,24576,27648,8214,8781824,12517376,12800000
fan_out,8192,2,commit,10.461300,8195,9219,8193,32768,36864,8214,8994816,12541952,12800000
fan_out,8192,3,commit,10.310200,8195,9219,8193,40960,46080,8214,8949760,12484608,12800000
fan_in,8192,0,commit,7.441000,8197,9221,8194,16384,18432,8215,7000064,11010048,12800000
fan_in,8192,1,commit,7.303600,8197,9221,8194,24576,27648,8215,7278592,11075584,12800000
fan_in,8192,2,commit,7.489600,8197,9221,8194,32768,36864,8215,7159808,11034624,12800000
fan_in,8192,3,commit,7.329700,8197,9221,8194,40960,46080,8215,6832128,11010048,13062144
fan_out,16384,0,commit,39.504300,16387,18435,16385,32768,36864,16406,14925824,18599936,19156992
fan_out,16384,1,commit,39.452600,16387,18435,16385,49152,55296,16406,15380480,19054592,19156992
fan_out,16384,2,commit,39.474300,16387,18435,16385,65536,73728,16406,15593472,19324928,19324928
fan_out,16384,3,commit,39.399400,16387,18435,16385,81920,92160,16406,16265216,19517440,19517440
fan_in,16384,0,commit,22.236200,16389,18437,16386,32768,36864,16407,11816960,15491072,19517440
fan_in,16384,1,commit,22.680200,16389,18437,16386,49152,55296,16407,11894784,15622144,19517440
fan_in,16384,2,commit,22.741200,16389,18437,16386,65536,73728,16407,12054528,15798272,19517440
fan_in,16384,3,commit,22.396200,16389,18437,16386,81920,92160,16407,12296192,15839232,19517440
churn,128,0,g0,0.170100,131,195,1,128,192,22,1245184,5709824,19517440
churn,128,100,delta,0.008600,131,195,1,12928,13536,22,1671168,6049792,19517440
churn,128,500,delta,0.008000,131,195,1,64128,65232,22,4108288,8142848,19517440
churn,128,501,g0,0.109900,262,326,1,128,192,22,4108288,8142848,19517440
churn,128,502,g0,0.087100,393,457,1,128,192,22,4108288,8142848,19517440
churn,128,503,g0,0.088300,524,589,1,128,192,22,4108288,8142848,19517440
