shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.137800,2,66,1,1024,1152,22,1110016,5505024,5525504
aggregate,1024,0,publish_commit,0.117900,2,66,1,1024,1152,22,1110016,5595136,5595136
aggregate,1024,1,parse,0.140700,2,66,1,1024,1152,22,1114112,5607424,5648384
aggregate,1024,1,publish_commit,0.109800,2,66,1,1024,1152,22,1114112,5607424,5648384
aggregate,1024,2,parse,0.137600,2,66,1,1024,1152,22,1138688,5611520,5660672
aggregate,1024,2,publish_commit,0.108800,2,66,1,1024,1152,22,1138688,5611520,5660672
aggregate,1024,3,parse,0.137000,2,66,1,1024,1152,22,1138688,5619712,5660672
aggregate,1024,3,publish_commit,0.107600,2,66,1,1024,1152,22,1138688,5619712,5660672
enum,1024,0,parse,0.864900,2,66,1,0,0,22,1187840,5677056,5677056
enum,1024,0,publish_commit,0.080400,2,66,1,0,0,22,1187840,5677056,5677056
enum,1024,1,parse,0.865100,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,1,publish_commit,0.077700,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,2,parse,0.869700,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,2,publish_commit,0.078200,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,3,parse,0.872100,2,66,1,0,0,22,1187840,5681152,5681152
enum,1024,3,publish_commit,0.078300,2,66,1,0,0,22,1187840,5681152,5681152
aggregate,4096,0,parse,0.553700,2,66,1,4096,4608,22,2179072,6459392,6647808
aggregate,4096,0,publish_commit,0.392500,2,66,1,4096,4608,22,2179072,6459392,6647808
aggregate,4096,1,parse,0.570300,2,66,1,4096,4608,22,2211840,6455296,6647808
aggregate,4096,1,publish_commit,0.409300,2,66,1,4096,4608,22,2211840,6455296,6647808
aggregate,4096,2,parse,0.613100,2,66,1,4096,4608,22,2211840,6455296,6647808
aggregate,4096,2,publish_commit,0.447100,2,66,1,4096,4608,22,2211840,6455296,6647808
aggregate,4096,3,parse,0.632800,2,66,1,4096,4608,22,2211840,6455296,6647808
aggregate,4096,3,publish_commit,0.455900,2,66,1,4096,4608,22,2211840,6455296,6647808
enum,4096,0,parse,10.633800,2,66,1,0,0,22,2539520,6660096,6733824
enum,4096,0,publish_commit,0.371600,2,66,1,0,0,22,2539520,6660096,6733824
enum,4096,1,parse,10.613100,2,66,1,0,0,22,2539520,6619136,6733824
enum,4096,1,publish_commit,0.317500,2,66,1,0,0,22,2539520,6619136,6733824
enum,4096,2,parse,10.560700,2,66,1,0,0,22,2539520,6660096,6737920
enum,4096,2,publish_commit,0.274500,2,66,1,0,0,22,2539520,6660096,6737920
enum,4096,3,parse,10.521900,2,66,1,0,0,22,2539520,6660096,6737920
enum,4096,3,publish_commit,0.373600,2,66,1,0,0,22,2539520,6660096,6737920
aggregate,16384,0,parse,1.768800,2,66,1,16384,18432,22,5857280,9785344,10588160
aggregate,16384,0,publish_commit,1.532500,2,66,1,16384,18432,22,5857280,9785344,10588160
aggregate,16384,1,parse,1.634500,2,66,1,16384,18432,22,5885952,9814016,10629120
aggregate,16384,1,publish_commit,1.389000,2,66,1,16384,18432,22,5885952,9814016,10629120
aggregate,16384,2,parse,1.797400,2,66,1,16384,18432,22,6098944,9748480,10629120
aggregate,16384,2,publish_commit,1.396300,2,66,1,16384,18432,22,6098944,9748480,10629120
aggregate,16384,3,parse,1.691900,2,66,1,16384,18432,22,6008832,9957376,11251712
aggregate,16384,3,publish_commit,1.368300,2,66,1,16384,18432,22,6008832,9957376,11251712
enum,16384,0,parse,134.221000,2,66,1,0,0,22,6721536,10584064,11251712
enum,16384,0,publish_commit,1.054000,2,66,1,0,0,22,6721536,10584064,11251712
enum,16384,1,parse,134.521800,2,66,1,0,0,22,6721536,10559488,11251712
enum,16384,1,publish_commit,1.289600,2,66,1,0,0,22,6721536,10559488,11251712
enum,16384,2,parse,138.156900,2,66,1,0,0,22,6721536,10555392,11251712
enum,16384,2,publish_commit,1.246400,2,66,1,0,0,22,6721536,10555392,11251712
enum,16384,3,parse,137.334100,2,66,1,0,0,22,6721536,10555392,11251712
enum,16384,3,publish_commit,1.131200,2,66,1,0,0,22,6721536,10555392,11251712
fan_out,512,0,commit,0.090700,515,579,513,1024,1152,534,1359872,5828608,11251712
fan_out,512,1,commit,0.087800,515,579,513,1536,1728,534,1363968,5836800,11251712
fan_out,512,2,commit,0.083500,515,579,513,2048,2304,534,1363968,5849088,11251712
fan_out,512,3,commit,0.088700,515,579,513,2560,2880,534,1478656,5869568,11251712
fan_in,512,0,commit,0.234100,517,581,514,1024,1152,535,2064384,5922816,11251712
fan_in,512,1,commit,0.247900,517,581,514,1536,1728,535,1355776,5849088,11251712
fan_in,512,2,commit,0.241600,517,581,514,2048,2304,535,1368064,5857280,11251712
fan_in,512,3,commit,0.236100,517,581,514,2560,2880,535,1376256,5869568,11251712
fan_out,2048,0,commit,0.792500,2051,2307,2049,4096,4608,2070,2768896,7204864,11251712
fan_out,2048,1,commit,0.822300,2051,2307,2049,6144,6912,2070,3039232,7249920,11251712
fan_out,2048,2,commit,0.783200,2051,2307,2049,8192,9216,2070,3039232,7315456,11251712
fan_out,2048,3,commit,0.803500,2051,2307,2049,10240,11520,2070,3043328,7356416,11251712
fan_in,2048,0,commit,1.141400,2053,2309,2050,4096,4608,2071,2351104,6799360,11251712
fan_in,2048,1,commit,1.150200,2053,2309,2050,6144,6912,2071,2428928,6868992,11251712
fan_in,2048,2,commit,1.126300,2053,2309,2050,8192,9216,2071,2465792,6918144,11251712
fan_in,2048,3,commit,1.145100,2053,2309,2050,10240,11520,2071,2473984,6918144,11251712
fan_out,8192,0,commit,10.992100,8195,9219,8193,16384,18432,8214,9093120,12427264,13045760
fan_out,8192,1,commit,10.269700,8195,9219,8193,24576,27648,8214,9084928,12447744,13045760
fan_out,8192,2,commit,10.318600,8195,9219,8193,32768,36864,8214,9392128,12820480,13045760
fan_out,8192,3,commit,10.286100,8195,9219,8193,40960,46080,8214,7507968,11481088,13045760
fan_in,8192,0,commit,7.291200,8197,9221,8194,16384,18432,8215,6627328,10723328,13045760
fan_in,8192,1,commit,7.363100,8197,9221,8194,24576,27648,8215,6995968,10928128,13045760
fan_in,8192,2,commit,7.412200,8197,9221,8194,32768,36864,8215,6823936,10850304,13070336
fan_in,8192,3,commit,7.331500,8197,9221,8194,40960,46080,8215,7028736,11014144,13070336
fan_out,16384,0,commit,39.122400,16387,18435,16385,32768,36864,16406,15122432,18403328,19959808
fan_out,16384,1,commit,39.237800,16387,18435,16385,49152,55296,16406,13221888,17055744,19959808
fan_out,16384,2,commit,39.010700,16387,18435,16385,65536,73728,16406,16117760,19320832,19959808
fan_out,16384,3,commit,39.246400,16387,18435,16385,81920,92160,16406,16044032,19513344,19959808
fan_in,16384,0,commit,21.994500,16389,18437,16386,32768,36864,16407,11763712,15437824,19959808
fan_in,16384,1,commit,23.024900,16389,18437,16386,49152,55296,16407,12042240,15671296,19959808
fan_in,16384,2,commit,22.169200,16389,18437,16386,65536,73728,16407,11833344,15699968,19959808
fan_in,16384,3,commit,24.786500,16389,18437,16386,81920,92160,16407,11988992,15679488,19959808
churn,128,0,g0,0.107800,131,195,1,128,192,22,4763648,7147520,19959808
churn,128,100,delta,0.009500,131,195,1,12928,13536,22,2449408,6078464,19959808
churn,128,500,delta,0.009500,131,195,1,64128,65232,22,3149824,7487488,19959808
churn,128,501,g0,0.067500,262,326,1,128,192,22,3149824,7487488,19959808
churn,128,502,g0,0.042500,393,457,1,128,192,22,3174400,7491584,19959808
churn,128,503,g0,0.039800,524,589,1,128,192,22,3174400,7499776,19959808
type_churn,8,0,g0,0.070000,2,66,1,0,0,22,1200128,5660672,19959808
type_churn,8,100,delta,0.002400,9,66,2,0,0,23,1200128,5660672,19959808
type_churn,8,500,delta,0.002400,9,66,2,0,0,23,1200128,5660672,19959808
type_churn,8,501,g0,0.076800,11,75,1,0,0,22,1200128,5660672,19959808
type_churn,8,502,g0,0.044900,13,77,1,0,0,22,1212416,5660672,19959808
type_churn,8,503,g0,0.029600,15,79,1,0,0,22,1212416,5660672,19959808
