shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.138300,2,66,1,1024,1152,22,1126400,5521408,5525504
aggregate,1024,0,publish_commit,0.137900,2,66,1,1024,1152,22,1126400,5615616,5615616
aggregate,1024,1,parse,0.136900,2,66,1,1024,1152,22,1138688,5619712,5652480
aggregate,1024,1,publish_commit,0.089600,2,66,1,1024,1152,22,1138688,5619712,5652480
aggregate,1024,2,parse,0.131300,2,66,1,1024,1152,22,1138688,5623808,5656576
aggregate,1024,2,publish_commit,0.085200,2,66,1,1024,1152,22,1138688,5623808,5656576
aggregate,1024,3,parse,0.132600,2,66,1,1024,1152,22,1155072,5632000,5681152
aggregate,1024,3,publish_commit,0.096800,2,66,1,1024,1152,22,1155072,5632000,5681152
enum,1024,0,parse,0.869600,2,66,1,0,0,22,1200128,5681152,5681152
enum,1024,0,publish_commit,0.100100,2,66,1,0,0,22,1200128,5681152,5681152
enum,1024,1,parse,0.833700,2,66,1,0,0,22,1200128,5677056,5681152
enum,1024,1,publish_commit,0.097700,2,66,1,0,0,22,1200128,5677056,5681152
enum,1024,2,parse,0.847900,2,66,1,0,0,22,1200128,5677056,5681152
enum,1024,2,publish_commit,0.094100,2,66,1,0,0,22,1200128,5677056,5681152
enum,1024,3,parse,0.834400,2,66,1,0,0,22,1200128,5689344,5693440
enum,1024,3,publish_commit,0.101300,2,66,1,0,0,22,1200128,5689344,5693440
aggregate,4096,0,parse,0.543900,2,66,1,4096,4608,22,2347008,6553600,6705152
aggregate,4096,0,publish_commit,0.461200,2,66,1,4096,4608,22,2347008,6553600,6705152
aggregate,4096,1,parse,0.547800,2,66,1,4096,4608,22,2228224,6594560,6840320
aggregate,4096,1,publish_commit,0.453200,2,66,1,4096,4608,22,2228224,6594560,6840320
aggregate,4096,2,parse,0.620600,2,66,1,4096,4608,22,2281472,6545408,6840320
aggregate,4096,2,publish_commit,0.518800,2,66,1,4096,4608,22,2281472,6545408,6840320
aggregate,4096,3,parse,0.609000,2,66,1,4096,4608,22,2281472,6557696,6844416
aggregate,4096,3,publish_commit,0.490200,2,66,1,4096,4608,22,2281472,6557696,6844416
enum,4096,0,parse,12.331000,2,66,1,0,0,22,2404352,6701056,6844416
enum,4096,0,publish_commit,0.301600,2,66,1,0,0,22,2404352,6701056,6844416
enum,4096,1,parse,10.367800,2,66,1,0,0,22,2404352,6717440,6844416
enum,4096,1,publish_commit,0.363200,2,66,1,0,0,22,2404352,6717440,6844416
enum,4096,2,parse,10.506300,2,66,1,0,0,22,2404352,6672384,6844416
enum,4096,2,publish_commit,0.292600,2,66,1,0,0,22,2404352,6672384,6844416
enum,4096,3,parse,10.993600,2,66,1,0,0,22,2404352,6701056,6844416
enum,4096,3,publish_commit,0.271300,2,66,1,0,0,22,2404352,6701056,6844416
aggregate,16384,0,parse,1.673400,2,66,1,16384,18432,22,6025216,9904128,10731520
aggregate,16384,0,publish_commit,1.603500,2,66,1,16384,18432,22,6025216,9904128,10731520
aggregate,16384,1,parse,2.223900,2,66,1,16384,18432,22,6467584,9850880,10731520
aggregate,16384,1,publish_commit,1.415800,2,66,1,16384,18432,22,6467584,9850880,10731520
aggregate,16384,2,parse,2.024200,2,66,1,16384,18432,22,5877760,9900032,10850304
aggregate,16384,2,publish_commit,1.407400,2,66,1,16384,18432,22,5877760,9900032,10850304
aggregate,16384,3,parse,1.730000,2,66,1,16384,18432,22,5697536,9834496,10850304
aggregate,16384,3,publish_commit,1.363600,2,66,1,16384,18432,22,5697536,9834496,10850304
enum,16384,0,parse,135.706000,2,66,1,0,0,22,6909952,10625024,11030528
enum,16384,0,publish_commit,1.062200,2,66,1,0,0,22,6909952,10625024,11030528
enum,16384,1,parse,137.285900,2,66,1,0,0,22,6725632,10584064,11030528
