shape,n,run,phase,ms,identity_size,identity_capacity,type_slots,member_size,member_capacity,typeref_size,private_bytes,working_set,peak_working_set
aggregate,1024,0,parse,0.141100,2,66,1,1024,1152,22,1122304,5521408,5533696
aggregate,1024,0,publish_commit,0.115200,2,66,1,1024,1152,22,1122304,5611520,5611520
aggregate,1024,1,parse,0.148400,2,66,1,1024,1152,22,1134592,5611520,5640192
aggregate,1024,1,publish_commit,0.108800,2,66,1,1024,1152,22,1134592,5611520,5640192
aggregate,1024,2,parse,0.143600,2,66,1,1024,1152,22,1126400,5611520,5672960
aggregate,1024,2,publish_commit,0.117500,2,66,1,1024,1152,22,1126400,5611520,5672960
aggregate,1024,3,parse,0.168100,2,66,1,1024,1152,22,1134592,5627904,5672960
aggregate,1024,3,publish_commit,0.108200,2,66,1,1024,1152,22,1134592,5627904,5672960
enum,1024,0,parse,0.845300,2,66,1,0,0,22,1191936,5681152,5681152
enum,1024,0,publish_commit,0.101100,2,66,1,0,0,22,1191936,5681152,5681152
enum,1024,1,parse,0.833400,2,66,1,0,0,22,1191936,5681152,5681152
enum,1024,1,publish_commit,0.097200,2,66,1,0,0,22,1191936,5681152,5681152
enum,1024,2,parse,0.832500,2,66,1,0,0,22,1191936,5685248,5685248
enum,1024,2,publish_commit,0.094900,2,66,1,0,0,22,1191936,5685248,5685248
enum,1024,3,parse,0.828200,2,66,1,0,0,22,1191936,5685248,5685248
enum,1024,3,publish_commit,0.094700,2,66,1,0,0,22,1191936,5685248,5685248
aggregate,4096,0,parse,0.606900,2,66,1,4096,4608,22,2396160,6459392,6647808
aggregate,4096,0,publish_commit,0.392600,2,66,1,4096,4608,22,2396160,6459392,6647808
aggregate,4096,1,parse,0.618100,2,66,1,4096,4608,22,2334720,6504448,6762496
aggregate,4096,1,publish_commit,0.407300,2,66,1,4096,4608,22,2334720,6504448,6762496
aggregate,4096,2,parse,0.489900,2,66,1,4096,4608,22,2191360,6508544,6877184
aggregate,4096,2,publish_commit,0.344600,2,66,1,4096,4608,22,2191360,6508544,6877184
aggregate,4096,3,parse,0.475800,2,66,1,4096,4608,22,2191360,6508544,6877184
aggregate,4096,3,publish_commit,0.342200,2,66,1,4096,4608,22,2191360,6508544,6877184
enum,4096,0,parse,10.281000,2,66,1,0,0,22,2445312,6742016,6877184
enum,4096,0,publish_commit,0.327500,2,66,1,0,0,22,2445312,6742016,6877184
enum,4096,1,parse,10.549600,2,66,1,0,0,22,2445312,6725632,6877184
enum,4096,1,publish_commit,0.328600,2,66,1,0,0,22,2445312,6725632,6877184
enum,4096,2,parse,10.243200,2,66,1,0,0,22,2445312,6656000,6877184
enum,4096,2,publish_commit,0.384600,2,66,1,0,0,22,2445312,6656000,6877184
enum,4096,3,parse,10.202000,2,66,1,0,0,22,2445312,6742016,6877184
enum,4096,3,publish_commit,0.285000,2,66,1,0,0,22,2445312,6742016,6877184
aggregate,16384,0,parse,2.022600,2,66,1,16384,18432,22,5664768,9830400,10821632
aggregate,16384,0,publish_commit,1.505600,2,66,1,16384,18432,22,5664768,9830400,10821632
aggregate,16384,1,parse,1.871200,2,66,1,16384,18432,22,5718016,9936896,10821632
aggregate,16384,1,publish_commit,1.355100,2,66,1,16384,18432,22,5718016,9936896,10821632
aggregate,16384,2,parse,1.616400,2,66,1,16384,18432,22,5799936,9908224,10850304
aggregate,16384,2,publish_commit,1.364900,2,66,1,16384,18432,22,5799936,9908224,10850304
aggregate,16384,3,parse,1.783600,2,66,1,16384,18432,22,6000640,9924608,10932224
aggregate,16384,3,publish_commit,1.212200,2,66,1,16384,18432,22,6000640,9924608,10932224
enum,16384,0,parse,133.783700,2,66,1,0,0,22,6864896,10612736,11157504
enum,16384,0,publish_commit,1.180400,2,66,1,0,0,22,6864896,10612736,11157504
enum,16384,1,parse,137.683500,2,66,1,0,0,22,6901760,10608640,11157504
enum,16384,1,publish_commit,1.154200,2,66,1,0,0,22,6901760,10608640,11157504
enum,16384,2,parse,134.505900,2,66,1,0,0,22,6754304,10604544,11157504
enum,16384,2,publish_commit,1.170900,2,66,1,0,0,22,6754304,10604544,11157504
enum,16384,3,parse,135.611100,2,66,1,0,0,22,6754304,10625024,11157504
enum,16384,3,publish_commit,1.198000,2,66,1,0,0,22,6754304,10625024,11157504
fan_out,512,0,commit,0.013300,515,711,513,1024,1152,534,1310720,5804032,11157504
fan_out,512,1,commit,0.011100,515,711,513,1536,1728,534,1310720,5804032,11157504
fan_out,512,2,commit,0.013200,515,711,513,2048,2304,534,1359872,5824512,11157504
fan_out,512,3,commit,0.015000,515,711,513,2560,2880,534,1359872,5832704,11157504
fan_in,512,0,commit,0.184900,517,711,514,1024,1152,535,1355776,5853184,11157504
fan_in,512,1,commit,0.175700,517,711,514,1536,1728,535,1368064,5861376,11157504
fan_in,512,2,commit,0.170600,517,711,514,2048,2304,535,1372160,5865472,11157504
fan_in,512,3,commit,0.155300,517,711,514,2560,2880,535,1650688,5935104,11157504
fan_out,2048,0,commit,0.044400,2051,2398,2049,4096,4608,2070,2678784,7024640,11157504
fan_out,2048,1,commit,0.045700,2051,2398,2049,6144,6912,2070,2707456,7057408,11157504
fan_out,2048,2,commit,0.047700,2051,2398,2049,8192,9216,2070,2707456,7086080,11157504
fan_out,2048,3,commit,0.051200,2051,2398,2049,10240,11520,2070,2899968,7118848,11157504
fan_in,2048,0,commit,0.646800,2053,2398,2050,4096,4608,2071,2404352,6840320,11157504
fan_in,2048,1,commit,0.675000,2053,2398,2050,6144,6912,2071,2469888,6873088,11157504
fan_in,2048,2,commit,0.680200,2053,2398,2050,8192,9216,2071,2543616,6897664,11157504
fan_in,2048,3,commit,0.753900,2053,2398,2050,10240,11520,2071,2482176,6926336,11157504
fan_out,8192,0,commit,0.139700,8195,12138,8193,16384,18432,8214,8060928,11612160,12939264
fan_out,8192,1,commit,0.135000,8195,12138,8193,24576,27648,8214,7749632,11620352,12939264
fan_out,8192,2,commit,0.170100,8195,12138,8193,32768,36864,8214,8093696,11988992,12939264
fan_out,8192,3,commit,0.148100,8195,12138,8193,40960,46080,8214,8093696,11874304,12939264
fan_in,8192,0,commit,2.599100,8197,12138,8194,16384,18432,8215,6815744,10797056,12939264
fan_in,8192,1,commit,2.670500,8197,12138,8194,24576,27648,8215,6459392,10620928,12939264
fan_in,8192,2,commit,2.470900,8197,12138,8194,32768,36864,8215,7004160,10944512,12939264
fan_in,8192,3,commit,2.618900,8197,12138,8194,40960,46080,8215,6991872,10932224,12939264
fan_out,16384,0,commit,0.281700,16387,18435,16385,32768,36864,16406,13623296,17293312,20008960
fan_out,16384,1,commit,0.313300,16387,18435,16385,49152,55296,16406,14327808,17838080,20008960
fan_out,16384,2,commit,0.338700,16387,18435,16385,65536,73728,16406,14520320,18096128,20008960
fan_out,16384,3,commit,0.343100,16387,18435,16385,81920,92160,16406,15273984,18391040,20008960
fan_in,16384,0,commit,5.658600,16389,18437,16386,32768,36864,16407,11792384,15491072,20008960
fan_in,16384,1,commit,5.801500,16389,18437,16386,49152,55296,16407,11264000,15224832,20008960
fan_in,16384,2,commit,5.399500,16389,18437,16386,65536,73728,16407,12419072,15835136,20008960
fan_in,16384,3,commit,5.887400,16389,18437,16386,81920,92160,16407,12247040,15826944,20008960
churn,128,0,g0,0.112500,2,66,1,128,192,22,2576384,6635520,20008960
churn,128,100,delta,0.008000,2,66,1,12928,13536,22,1470464,5885952,20008960
churn,128,500,delta,0.008100,2,66,1,64128,65232,22,4317184,8261632,20008960
churn,128,501,g0,0.060100,2,66,1,128,192,22,4317184,8261632,20008960
churn,128,502,g0,0.164600,2,66,1,128,192,22,1155072,5632000,20008960
churn,128,503,g0,0.039800,2,66,1,128,192,22,1191936,5632000,20008960
type_churn,8,0,g0,0.062600,2,66,1,0,0,22,1191936,5632000,20008960
type_churn,8,100,delta,0.002500,9,66,101,0,0,122,1191936,5640192,20008960
type_churn,8,500,delta,0.002500,9,66,501,0,0,522,1302528,5771264,20008960
type_churn,8,501,g0,0.046200,9,73,1,0,0,22,1302528,5771264,20008960
type_churn,8,502,g0,0.044100,9,73,1,0,0,22,1175552,5652480,20008960
type_churn,8,503,g0,0.029700,9,73,1,0,0,22,1175552,5652480,20008960
