"shape","n","phase","baseline_ms","candidate_ms","speedup","candidate_min","candidate_max"
"aggregate","1024","parse","0.14129999999999998","0.13735","1.028758645795413","0.1312","0.1484"
"aggregate","1024","publish_commit","0.11365","0.10075","1.1280397022332505","0.0896","0.1161"
"aggregate","16384","parse","1.7729","1.81925","0.9745224680500205","1.6652","2.0242"
"aggregate","16384","publish_commit","1.3648","1.38125","0.9880904977375565","1.2762","1.4161"
"aggregate","4096","parse","0.57785","0.5499499999999999","1.0507318847167926","0.4899","0.609"
"aggregate","4096","publish_commit","0.42715000000000003","0.3808","1.12171743697479","0.3196","0.4902"
"enum","1024","parse","0.8662000000000001","0.833","1.039855942376951","0.8257","0.8344"
"enum","1024","publish_commit","0.09734999999999999","0.0891","1.0925925925925926","0.0792","0.0977"
"enum","16384","parse","137.10835","137.1138","0.9999602519950581","135.6111","139.644"
"enum","16384","publish_commit","1.2262499999999998","1.1268","1.088258785942492","1.0799","1.1833"
"enum","4096","parse","10.754249999999999","10.4193","1.0321470732198899","10.2432","10.6985"
"enum","4096","publish_commit","0.3746","0.32125000000000004","1.1660700389105056","0.2926","0.3664"
"fan_in","16384","commit","22.58","5.2675","4.286663502610346","5.2232","5.8015"
"fan_in","2048","commit","1.1587999999999998","0.68315","1.6962599721876597","0.6635","0.7078"
"fan_in","512","commit","0.2392","0.16935","1.4124594036020077","0.1651","0.1739"
"fan_in","8192","commit","7.3464","2.5898000000000003","2.836666924086802","2.5366","2.7512"
"fan_out","16384","commit","39.2923","0.34650000000000003","113.39769119769117","0.3314","0.3553"
"fan_out","2048","commit","0.8059000000000001","0.044800000000000006","17.988839285714285","0.0436","0.0477"
"fan_out","512","commit","0.08795","0.01225","7.179591836734693","0.0106","0.014"
"fan_out","8192","commit","10.37275","0.17395","59.630640988789885","0.1481","0.1933"
