types,scenario,total_ms,setup_ms,prepare_ms,publish_ms,setup_replace_source_ms,setup_declare_named_ms,prepare_accounted_ms,source_prepare_ms,string_prepare_ms,graph_prepare_ms,string_retention_ms,string_compaction_ms,contribution_prepare_ms,graph_pending_member_resolution_ms,graph_live_typeref_validation_ms,graph_canonical_typeref_rebuild_ms,graph_string_validation_ms,graph_definition_scan_ms,graph_definition_materialization_ms,graph_rebuild_storage_ms,graph_dependency_index_ms,graph_final_prepare_ms,pending_resolution_types,pending_resolution_members,pending_resolution_modifiers,canonical_types_size_before,canonical_types_size_after,string_records_size_before,string_records_size_after,string_records_capacity_before,string_records_capacity_after,string_records_reallocated,string_records_relocation_bytes,string_lookup_size_before,string_lookup_size_after,string_lookup_buckets_before,string_lookup_buckets_after,string_lookup_rehashed,string_lookup_entries_rehashed,changed_sources,changed_entities,changed_types,validation_visited_types,validation_visited_type_refs,validation_dependency_edges,graph_reallocated,contribution_reallocated,graph_relocation_bytes,contribution_relocation_bytes
128,g0_initial,0.099000,0.056000,0.040400,0.002600,0.000000,0.000000,0.040200,0.003500,0.002900,0.025000,0.000500,0.000100,0.008200,0.000100,0.000400,0.006000,0.000700,0.000100,0.000200,0.002900,0.004500,0.009400,0,0,0,0,0,0,0,0,192,1,0,0,0,0,0,0,0,128,128,128,128,0,0,0,1,0,0
128,g1_modify_one,0.004200,0.001500,0.002200,0.000500,0.000000,0.000000,0.002000,0.000300,0.000100,0.001600,0.000000,0.000000,0.000000,0.000100,0.000400,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000800,0,0,0,149,149,128,128,192,192,0,0,128,128,256,256,0,0,1,0,0,0,0,0,0,0,0,0
128,g2_remove_one,0.003200,0.000800,0.002100,0.000300,0.000000,0.000000,0.001700,0.000000,0.000000,0.001700,0.000000,0.000000,0.000000,0.000100,0.000700,0.000100,0.000000,0.000100,0.000000,0.000000,0.000000,0.000400,0,0,0,149,149,128,128,192,192,0,0,128,128,256,256,0,0,1,1,1,1,0,0,0,0,0,0
128,g3_add_one,0.004900,0.002500,0.002000,0.000400,0.000000,0.000000,0.001800,0.000000,0.000600,0.001200,0.000000,0.000000,0.000000,0.000000,0.000400,0.000000,0.000100,0.000000,0.000100,0.000000,0.000000,0.000400,0,0,0,149,149,128,128,192,192,0,0,128,128,256,256,0,0,1,1,1,1,0,0,0,0,0,0
128,g0_rebuild_after_churn,2.307100,2.289600,0.014400,0.003100,0.000000,0.000000,0.014200,0.000500,0.000100,0.012800,0.000600,0.000100,0.000100,0.000200,0.000400,0.001800,0.000700,0.000200,0.000200,0.002000,0.000900,0.005900,0,0,0,0,0,129,129,192,192,0,0,129,129,512,512,0,0,128,128,128,128,0,0,0,0,0,0
512,g0_initial,0.261700,0.199500,0.053800,0.008400,0.000000,0.000000,0.053300,0.005100,0.000600,0.024500,0.001000,0.000100,0.022000,0.000300,0.001000,0.005000,0.002300,0.000300,0.000600,0.005300,0.001000,0.006800,0,0,0,0,0,0,0,0,576,1,0,0,0,0,0,0,0,512,512,512,512,0,0,0,1,0,0
512,g1_modify_one,0.004900,0.001900,0.002500,0.000500,0.000000,0.000000,0.002500,0.000300,0.000100,0.002000,0.000000,0.000000,0.000100,0.000000,0.000500,0.000100,0.000000,0.000100,0.000000,0.000000,0.000000,0.001100,0,0,0,533,533,512,512,576,576,0,0,512,512,1024,1024,0,0,1,0,0,0,0,0,0,0,0,0
512,g2_remove_one,0.003400,0.000800,0.002400,0.000200,0.000000,0.000000,0.002400,0.000100,0.000000,0.002200,0.000000,0.000000,0.000100,0.000100,0.000800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000700,0,0,0,533,533,512,512,576,576,0,0,512,512,1024,1024,0,0,1,1,1,1,0,0,0,0,0,0
512,g3_add_one,0.007500,0.002800,0.004400,0.000300,0.000000,0.000000,0.004200,0.000100,0.003000,0.001000,0.000100,0.000000,0.000000,0.000100,0.000300,0.000100,0.000000,0.000100,0.000000,0.000000,0.000000,0.000400,0,0,0,533,533,512,512,576,576,0,0,512,512,1024,1024,0,0,1,1,1,1,0,0,0,0,0,0
512,g0_rebuild_after_churn,7.945300,7.903200,0.034300,0.007800,0.000000,0.000000,0.034100,0.000100,0.000100,0.032700,0.000800,0.000200,0.000200,0.000300,0.001100,0.007000,0.002500,0.000300,0.000600,0.004700,0.004700,0.009700,0,0,0,0,0,513,513,576,576,0,0,513,513,2048,2048,0,0,512,512,512,512,0,0,0,0,0,0
2048,g0_initial,1.077600,0.805300,0.242300,0.030000,0.000000,0.000000,0.241600,0.063500,0.000900,0.127200,0.003000,0.000400,0.046600,0.003400,0.003900,0.029500,0.015200,0.001800,0.002000,0.018400,0.014600,0.032900,0,0,0,0,0,0,0,0,2304,1,0,0,0,0,0,0,0,2048,2048,2048,2048,0,0,0,1,0,0
2048,g1_modify_one,0.008400,0.003100,0.004000,0.001300,0.000000,0.000000,0.003800,0.000700,0.000100,0.002800,0.000000,0.000000,0.000200,0.000000,0.000600,0.000200,0.000100,0.000100,0.000100,0.000000,0.000000,0.001100,0,0,0,2069,2069,2048,2048,2304,2304,0,0,2048,2048,4096,4096,0,0,1,0,0,0,0,0,0,0,0,0
2048,g2_remove_one,0.004300,0.001100,0.002900,0.000300,0.000000,0.000000,0.002800,0.000000,0.000100,0.002600,0.000000,0.000000,0.000100,0.000000,0.000800,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000700,0,0,0,2069,2069,2048,2048,2304,2304,0,0,2048,2048,4096,4096,0,0,1,1,1,1,0,0,0,0,0,0
2048,g3_add_one,0.019800,0.004100,0.014900,0.000800,0.000000,0.000000,0.014800,0.000000,0.012800,0.001700,0.000100,0.000000,0.000200,0.000100,0.000500,0.000000,0.000100,0.000000,0.000000,0.000000,0.000000,0.000800,0,0,0,2069,2069,2048,2048,2304,2304,0,0,2048,2048,4096,4096,0,0,1,1,1,1,0,0,0,0,0,0
2048,g0_rebuild_after_churn,32.380800,32.198600,0.148600,0.033600,0.000000,0.000000,0.148300,0.001100,0.000200,0.142800,0.003200,0.000400,0.000600,0.002400,0.004000,0.020400,0.014200,0.001100,0.002000,0.021700,0.023600,0.046900,0,0,0,0,0,2049,2049,2304,2304,0,0,2049,2049,8192,8192,0,0,2048,2048,2048,2048,0,0,0,0,0,0
8192,g0_initial,5.050400,3.809900,1.094800,0.145700,0.000000,0.000000,1.094000,0.433600,0.007100,0.480300,0.009900,0.001600,0.161500,0.011300,0.015300,0.104400,0.082100,0.006400,0.007500,0.061200,0.036900,0.137100,0,0,0,0,0,0,0,0,9216,1,0,0,0,0,0,0,0,8192,8192,8192,8192,0,0,0,1,0,0
8192,g1_modify_one,0.008300,0.002700,0.004700,0.000900,0.000000,0.000000,0.004500,0.000800,0.000600,0.003000,0.000000,0.000000,0.000100,0.000000,0.000700,0.000200,0.000100,0.000100,0.000100,0.000000,0.000000,0.001200,0,0,0,8213,8213,8192,8192,9216,9216,0,0,8192,8192,16384,16384,0,0,1,0,0,0,0,0,0,0,0,0
8192,g2_remove_one,0.003400,0.000800,0.002300,0.000300,0.000000,0.000000,0.002200,0.000000,0.000000,0.002100,0.000100,0.000000,0.000000,0.000000,0.000600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000700,0,0,0,8213,8213,8192,8192,9216,9216,0,0,8192,8192,16384,16384,0,0,1,1,1,1,0,0,0,0,0,0
8192,g3_add_one,0.042400,0.003500,0.038600,0.000300,0.000000,0.000000,0.038400,0.000000,0.037100,0.001200,0.000100,0.000000,0.000000,0.000100,0.000300,0.000100,0.000000,0.000100,0.000000,0.000000,0.000000,0.000600,0,0,0,8213,8213,8192,8192,9216,9216,0,0,8192,8192,16384,16384,0,0,1,1,1,1,0,0,0,0,0,0
8192,g0_rebuild_after_churn,129.935900,129.314000,0.489900,0.132000,0.000000,0.000000,0.488600,0.001100,0.000200,0.469600,0.010500,0.003700,0.003500,0.010100,0.015000,0.066300,0.088200,0.005700,0.007500,0.051900,0.062200,0.137700,0,0,0,0,0,8193,8193,9216,9216,0,0,8193,8193,32768,32768,0,0,8192,8192,8192,8192,0,0,0,0,0,0
