"side","process","shape","n","phase","ms"
"baseline","1","aggregate","1024","parse","0.1636"
"baseline","1","aggregate","1024","publish_commit","0.1351"
"baseline","1","aggregate","16384","parse","1.6877"
"baseline","1","aggregate","16384","publish_commit","1.3788"
"baseline","1","aggregate","4096","parse","0.5966"
"baseline","1","aggregate","4096","publish_commit","0.4457"
"baseline","1","enum","1024","parse","0.973"
"baseline","1","enum","1024","publish_commit","0.0989"
"baseline","1","enum","16384","parse","136.8826"
"baseline","1","enum","16384","publish_commit","1.2061"
"baseline","1","enum","4096","parse","12.4373"
"baseline","1","enum","4096","publish_commit","0.3918"
"baseline","1","fan_in","16384","commit","22.6802"
"baseline","1","fan_in","2048","commit","1.1535"
"baseline","1","fan_in","512","commit","0.2408"
"baseline","1","fan_in","8192","commit","7.3297"
"baseline","1","fan_out","16384","commit","39.4526"
"baseline","1","fan_out","2048","commit","0.8083"
"baseline","1","fan_out","512","commit","0.0881"
"baseline","1","fan_out","8192","commit","10.4163"
"baseline","2","aggregate","1024","parse","0.1352"
"baseline","2","aggregate","1024","publish_commit","0.0964"
"baseline","2","aggregate","16384","parse","1.9037"
"baseline","2","aggregate","16384","publish_commit","1.304"
"baseline","2","aggregate","4096","parse","0.5535"
"baseline","2","aggregate","4096","publish_commit","0.4086"
"baseline","2","enum","1024","parse","0.8627"
"baseline","2","enum","1024","publish_commit","0.0974"
"baseline","2","enum","16384","parse","140.0777"
"baseline","2","enum","16384","publish_commit","1.2952"
"baseline","2","enum","4096","parse","10.7799"
"baseline","2","enum","4096","publish_commit","0.3886"
"baseline","2","fan_in","16384","commit","22.0296"
"baseline","2","fan_in","2048","commit","1.1933"
"baseline","2","fan_in","512","commit","0.2376"
"baseline","2","fan_in","8192","commit","7.2348"
"baseline","2","fan_out","16384","commit","39.198"
"baseline","2","fan_out","2048","commit","0.7983"
"baseline","2","fan_out","512","commit","0.0894"
"baseline","2","fan_out","8192","commit","10.3626"
"baseline","3","aggregate","1024","parse","0.145"
"baseline","3","aggregate","1024","publish_commit","0.1185"
"baseline","3","aggregate","16384","parse","1.8539"
"baseline","3","aggregate","16384","publish_commit","1.3508"
"baseline","3","aggregate","4096","parse","0.5591"
"baseline","3","aggregate","4096","publish_commit","0.3831"
"baseline","3","enum","1024","parse","0.8593"
"baseline","3","enum","1024","publish_commit","0.0973"
"baseline","3","enum","16384","parse","136.8166"
"baseline","3","enum","16384","publish_commit","0.9546"
"baseline","3","enum","4096","parse","10.7286"
"baseline","3","enum","4096","publish_commit","0.3606"
"baseline","3","fan_in","16384","commit","22.4798"
"baseline","3","fan_in","2048","commit","1.1641"
"baseline","3","fan_in","512","commit","0.2345"
"baseline","3","fan_in","8192","commit","7.4475"
"baseline","3","fan_out","16384","commit","39.3468"
"baseline","3","fan_out","2048","commit","0.819"
"baseline","3","fan_out","512","commit","0.0805"
"baseline","3","fan_out","8192","commit","10.3829"
"baseline","4","aggregate","1024","parse","0.1376"
"baseline","4","aggregate","1024","publish_commit","0.1088"
"baseline","4","aggregate","16384","parse","1.6919"
"baseline","4","aggregate","16384","publish_commit","1.389"
"baseline","4","aggregate","4096","parse","0.6131"
"baseline","4","aggregate","4096","publish_commit","0.4471"
"baseline","4","enum","1024","parse","0.8697"
"baseline","4","enum","1024","publish_commit","0.0782"
"baseline","4","enum","16384","parse","137.3341"
"baseline","4","enum","16384","publish_commit","1.2464"
"baseline","4","enum","4096","parse","10.5607"
"baseline","4","enum","4096","publish_commit","0.3175"
"baseline","4","fan_in","16384","commit","23.0249"
"baseline","4","fan_in","2048","commit","1.1451"
"baseline","4","fan_in","512","commit","0.2416"
"baseline","4","fan_in","8192","commit","7.3631"
"baseline","4","fan_out","16384","commit","39.2378"
"baseline","4","fan_out","2048","commit","0.8035"
"baseline","4","fan_out","512","commit","0.0878"
"baseline","4","fan_out","8192","commit","10.2861"
"candidate","1","aggregate","1024","parse","0.1326"
"candidate","1","aggregate","1024","publish_commit","0.0896"
"candidate","1","aggregate","16384","parse","2.0242"
"candidate","1","aggregate","16384","publish_commit","1.4074"
"candidate","1","aggregate","4096","parse","0.609"
"candidate","1","aggregate","4096","publish_commit","0.4902"
"candidate","1","enum","1024","parse","0.8344"
"candidate","1","enum","1024","publish_commit","0.0977"
"candidate","1","enum","16384","parse","135.9334"
"candidate","1","enum","16384","publish_commit","1.1833"
"candidate","1","enum","4096","parse","10.5063"
"candidate","1","enum","4096","publish_commit","0.2926"
"candidate","1","fan_in","16384","commit","5.2683"
"candidate","1","fan_in","2048","commit","0.6861"
"candidate","1","fan_in","512","commit","0.1651"
"candidate","1","fan_in","8192","commit","2.5366"
"candidate","1","fan_out","16384","commit","0.3314"
"candidate","1","fan_out","2048","commit","0.0436"
"candidate","1","fan_out","512","commit","0.0113"
"candidate","1","fan_out","8192","commit","0.1702"
"candidate","2","aggregate","1024","parse","0.1484"
"candidate","2","aggregate","1024","publish_commit","0.1088"
"candidate","2","aggregate","16384","parse","1.7836"
"candidate","2","aggregate","16384","publish_commit","1.3551"
"candidate","2","aggregate","4096","parse","0.4899"
"candidate","2","aggregate","4096","publish_commit","0.3446"
"candidate","2","enum","1024","parse","0.8325"
"candidate","2","enum","1024","publish_commit","0.0949"
"candidate","2","enum","16384","parse","135.6111"
"candidate","2","enum","16384","publish_commit","1.1709"
"candidate","2","enum","4096","parse","10.2432"
"candidate","2","enum","4096","publish_commit","0.3286"
"candidate","2","fan_in","16384","commit","5.8015"
"candidate","2","fan_in","2048","commit","0.6802"
"candidate","2","fan_in","512","commit","0.1706"
"candidate","2","fan_in","8192","commit","2.6189"
"candidate","2","fan_out","16384","commit","0.3387"
"candidate","2","fan_out","2048","commit","0.0477"
"candidate","2","fan_out","512","commit","0.0132"
"candidate","2","fan_out","8192","commit","0.1481"
"candidate","3","aggregate","1024","parse","0.1421"
"candidate","3","aggregate","1024","publish_commit","0.1161"
"candidate","3","aggregate","16384","parse","1.8549"
"candidate","3","aggregate","16384","publish_commit","1.4161"
"candidate","3","aggregate","4096","parse","0.5529"
"candidate","3","aggregate","4096","publish_commit","0.3196"
"candidate","3","enum","1024","parse","0.8335"
"candidate","3","enum","1024","publish_commit","0.0792"
"candidate","3","enum","16384","parse","139.644"
"candidate","3","enum","16384","publish_commit","1.0799"
"candidate","3","enum","4096","parse","10.6985"
"candidate","3","enum","4096","publish_commit","0.3664"
"candidate","3","fan_in","16384","commit","5.2667"
"candidate","3","fan_in","2048","commit","0.7078"
"candidate","3","fan_in","512","commit","0.1739"
"candidate","3","fan_in","8192","commit","2.7512"
"candidate","3","fan_out","16384","commit","0.3553"
"candidate","3","fan_out","2048","commit","0.0437"
"candidate","3","fan_out","512","commit","0.0106"
"candidate","3","fan_out","8192","commit","0.1777"
"candidate","4","aggregate","1024","parse","0.1312"
"candidate","4","aggregate","1024","publish_commit","0.0927"
"candidate","4","aggregate","16384","parse","1.6652"
"candidate","4","aggregate","16384","publish_commit","1.2762"
"candidate","4","aggregate","4096","parse","0.547"
"candidate","4","aggregate","4096","publish_commit","0.417"
"candidate","4","enum","1024","parse","0.8257"
"candidate","4","enum","1024","publish_commit","0.0833"
"candidate","4","enum","16384","parse","138.2942"
"candidate","4","enum","16384","publish_commit","1.0827"
"candidate","4","enum","4096","parse","10.3323"
"candidate","4","enum","4096","publish_commit","0.3139"
"candidate","4","fan_in","16384","commit","5.2232"
"candidate","4","fan_in","2048","commit","0.6635"
"candidate","4","fan_in","512","commit","0.1681"
"candidate","4","fan_in","8192","commit","2.5607"
"candidate","4","fan_out","16384","commit","0.3543"
"candidate","4","fan_out","2048","commit","0.0459"
"candidate","4","fan_out","512","commit","0.014"
"candidate","4","fan_out","8192","commit","0.1933"
